location_name,city,state,territory,consumer_url,launch_date_estimate,franchise_award_date,owner_name,owner_linkedin,owner_background,single_or_multi_unit,number_of_territories_owned,status_operating_awarded_unknown,gbp_rating,gbp_reviews,maps_rank_house_cleaning,maps_rank_airbnb_cleaning,opportunity_score,operating_status_evidence,evidence_url,evidence_date,confidence,notes
MaidThis Wilmington,Wilmington,NC,Wilmington,https://maidthis.com/wilmington/,,,Louie Pullen,,,single,1,AWARDED OR NOT YET VISIBLE,,,,,14.9,Location page indexed but no MaidThis GBP found in the top 20 Maps results,USER-SUPPLIED FDD EXTRACT (2024 FDD Item 20),2026-08-26,Medium,
MaidThis Jersey City / Hoboken,Jersey City,NJ,Jersey City / Hoboken,https://maidthis.com/jersey-hoboken/,,,,,,unknown,,AWARDED OR NOT YET VISIBLE,,,,,31.8,Location page indexed but no MaidThis GBP found in the top 20 Maps results,https://maidthis.com/jersey-hoboken/,2026-08-26,Medium,
MaidThis Cleaning of Cincinnati,Cincinnati,OH,Cincinnati,https://maidthis.com/cincinnati/,,,,,,unknown,,OPERATING,4.6,156,1,1,18.9,"Live MaidThis GBP found in the Maps pack (DataForSEO, 2026-08-26)",https://maidthis.com/cincinnati/,2026-08-26,High,
MaidThis Cleaning of King of Prussia,King of Prussia,PA,King of Prussia,https://maidthis.com/kingofprussia/,,,,,,unknown,,OPERATING,5,26,,10,4.4,"Live MaidThis GBP found in the Maps pack (DataForSEO, 2026-08-26)",https://maidthis.com/kingofprussia/,2026-08-26,High,
MaidThis Cleaning of Philadelphia,Philadelphia,PA,Philadelphia,https://maidthis.com/philadelphia/,,,,,,unknown,,OPERATING,4.8,130,,10,42.7,"Live MaidThis GBP found in the Maps pack (DataForSEO, 2026-08-26)",https://maidthis.com/philadelphia/,2026-08-26,High,
MaidThis Cleaning of Pittsburgh,Pittsburgh,PA,Pittsburgh,https://maidthis.com/pittsburgh/,,,,,,unknown,,OPERATING,5,24,,20,32.4,"Live MaidThis GBP found in the Maps pack (DataForSEO, 2026-08-26)",https://maidthis.com/pittsburgh/,2026-08-26,High,
MaidThis Columbia,Columbia,SC,Columbia,https://maidthis.com/columbia/,,,,,,unknown,,AWARDED OR NOT YET VISIBLE,,,,,17.4,Location page indexed but no MaidThis GBP found in the top 20 Maps results,https://maidthis.com/columbia/,2026-08-26,Medium,
MaidThis Cleaning Myrtle Beach,Myrtle Beach,SC,Myrtle Beach,https://maidthis.com/myrtle-beach/,,,Dan Blaker,,,single,1,OPERATING,4.8,257,4,1,11.7,"Live MaidThis GBP found in the Maps pack (DataForSEO, 2026-08-26)",USER-SUPPLIED FDD EXTRACT (2024 FDD Item 20),2026-08-26,Medium,
MaidThis Cleaning of Chattanooga,Chattanooga,TN,Chattanooga,https://maidthis.com/chattanooga/,,,,,,unknown,,OPERATING,4.9,142,3,2,10.5,"Live MaidThis GBP found in the Maps pack (DataForSEO, 2026-08-26)",https://maidthis.com/chattanooga/,2026-08-26,High,
MaidThis Spring Hill,Spring Hill,TN,Spring Hill,https://maidthis.com/spring-hill/,,,,,,unknown,,AWARDED OR NOT YET VISIBLE,,,,,4.3,Location page indexed but no MaidThis GBP found in the top 20 Maps results,https://maidthis.com/spring-hill/,2026-08-26,Medium,
MaidThis Austin,Austin,TX,Austin,https://maidthis.com/austin/,,,David Lahav,,Same owner as Denver/Boulder; multi-unit,multi,2,AWARDED OR NOT YET VISIBLE,,,,,33.9,Location page indexed but no MaidThis GBP found in the top 20 Maps results,https://www.crunchbase.com/person/david-lahav,2026-08-26,Medium,
MaidThis Northwest Austin,Cedar Park,TX,Northwest Austin,https://maidthis.com/nw-austin/,,,,,,unknown,,AWARDED OR NOT YET VISIBLE,,,,,12.0,Location page indexed but no MaidThis GBP found in the top 20 Maps results,https://maidthis.com/nw-austin/,2026-08-26,Medium,
MaidThis Flower Mound,Flower Mound,TX,Flower Mound,https://maidthis.com/flower-mound/,,,Matthew (surname not public),,Described publicly as a real-estate investor,single,1,AWARDED OR NOT YET VISIBLE,,,,,10.2,Location page indexed but no MaidThis GBP found in the top 20 Maps results,"USER-SUPPLIED, public MaidThis announcement",2026-08-26,Low,
MaidThis San Antonio,Helotes,TX,Northwest San Antonio,https://maidthis.com/nw-sanantonio/,,,,,,unknown,,OPERATING,5,87,,15,0.0,"Live MaidThis GBP found in the Maps pack (DataForSEO, 2026-08-26)",https://maidthis.com/nw-sanantonio/,2026-08-26,High,
MaidThis Cleaning of Northeast Houston,Humble,TX,Northeast Houston,https://maidthis.com/ne-houston/,,,,,,unknown,,OPERATING,5,32,6,6,11.1,"Live MaidThis GBP found in the Maps pack (DataForSEO, 2026-08-26)",https://maidthis.com/ne-houston/,2026-08-26,High,
MaidThis Katy,Katy,TX,Katy,https://maidthis.com/katy/,,,,,,unknown,,AWARDED OR NOT YET VISIBLE,,,,,21.2,Location page indexed but no MaidThis GBP found in the top 20 Maps results,https://maidthis.com/katy/,2026-08-26,Medium,
MaidThis McKinney,McKinney,TX,McKinney,https://maidthis.com/mckinney/,,,,,,unknown,,AWARDED OR NOT YET VISIBLE,,,,,26.4,Location page indexed but no MaidThis GBP found in the top 20 Maps results,https://maidthis.com/mckinney/,2026-08-26,Medium,
MaidThis San Antonio,San Antonio,TX,San Antonio,https://maidthis.com/san-antonio/,,,,,,unknown,,AWARDED OR NOT YET VISIBLE,,,,,47.4,Location page indexed but no MaidThis GBP found in the top 20 Maps results,https://maidthis.com/san-antonio/,2026-08-26,Medium,
MaidThis Spring,Spring,TX,Spring,https://maidthis.com/spring/,,,,,,unknown,,AWARDED OR NOT YET VISIBLE,,,,,18.9,Location page indexed but no MaidThis GBP found in the top 20 Maps results,https://maidthis.com/spring/,2026-08-26,Medium,
MaidThis Cleaning of Salt Lake City,Salt Lake City,UT,Salt Lake City,https://maidthis.com/saltlakecity/,,,Brian Boyle,,Bought Salt Lake City in 2022 and Provo in 2024; multi-unit,multi,2,OPERATING,4.9,127,3,1,17.7,"Live MaidThis GBP found in the Maps pack (DataForSEO, 2026-08-26)","USER-SUPPLIED, public franchisee statement",2026-08-26,Medium,"Provo UT reported as a second territory under the same owner, no separate URL"
MaidThis Alexandria,Alexandria,VA,Alexandria,https://maidthis.com/alexandria/,,,,,,unknown,,AWARDED OR NOT YET VISIBLE,,,,,25.3,Location page indexed but no MaidThis GBP found in the top 20 Maps results,https://maidthis.com/alexandria/,2026-08-26,Medium,
MaidThis Arlington,Arlington,VA,Arlington,https://maidthis.com/arlington/,,,,,,unknown,,AWARDED OR NOT YET VISIBLE,,,,,26.5,Location page indexed but no MaidThis GBP found in the top 20 Maps results,https://maidthis.com/arlington/,2026-08-26,Medium,
MaidThis Richmond,Richmond,VA,Richmond,https://maidthis.com/richmond/,,,,,,unknown,,AWARDED OR NOT YET VISIBLE,,,,,23.8,Location page indexed but no MaidThis GBP found in the top 20 Maps results,https://maidthis.com/richmond/,2026-08-26,Medium,
MaidThis Milwaukee,Milwaukee,WI,Milwaukee,https://maidthis.com/milwaukee/,,,,,,unknown,,AWARDED OR NOT YET VISIBLE,,,,,36.7,Location page indexed but no MaidThis GBP found in the top 20 Maps results,https://maidthis.com/milwaukee/,2026-08-26,Medium,
